"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C20 H26 O14 S1","C20 H26 O14 S1",20,26,14,0,0,1,0,0.2,54.6,1.3,0.7,"CHOS","Tannin","unsaturated/lignin","unsaturated/lignin"
"C27 H30 O11","C27 H30 O11",27,30,11,0,0,0,0.3488,-0.2963,68.74455,1.11,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H34 O13","C24 H34 O13",24,34,13,0,0,0,0.0857,-0.3333,69.79905,1.42,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C28 H34 O10","C28 H34 O10",28,34,10,0,0,0,0.3043,-0.5,74.55,1.21,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H31 O13 P1","C21 H31 O13 P1",21,31,13,0,1,0,-0.037,-0.4762,73.8717,1.48,0.62,"CHOP","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C25 H38 O12","C25 H38 O12",25,38,12,0,0,0,0.0526,-0.56,76.26,1.52,0.48,"CHO","Protein","aliphatic","aliphatic"
"C29 H38 O9","C29 H38 O9",29,38,9,0,0,0,0.2653,-0.6897,79.95645,1.31,0.31,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H39 O11 N1 13C1","C24 H39 O11 N1 13C1",24,39,11,1,0,0,-0.0286,-0.5833,76.92405,1.62,0.46,"CHON","Protein","aliphatic","aliphatic+N"
"C22 H42 O14","C22 H42 O14",22,42,14,0,0,0,-0.3333,-0.6364,78.4374,1.91,0.64,"CHO","Other","aliphatic","aliphatic"
"C29 H30 O9","C29 H30 O9",29,30,9,0,0,0,0.4286,-0.4138,72.0933,1.03,0.31,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H42 O11","C26 H42 O11",26,42,11,0,0,0,0.0244,-0.7692,82.2222,1.62,0.42,"CHO","Protein","aliphatic","aliphatic"
"C30 H42 O8","C30 H42 O8",30,42,8,0,0,0,0.2308,-0.8667,85.00095,1.4,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C30 H44 O7","C30 H44 O7",30,44,7,0,0,0,0.2075,-1,88.8,1.47,0.23,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C27 H46 O10","C27 H46 O10",27,46,10,0,0,0,0,-0.963,87.7455,1.7,0.37,"CHO","Protein","aliphatic","aliphatic"
"C31 H46 O7","C31 H46 O7",31,46,7,0,0,0,0.2,-1.0323,89.72055,1.48,0.23,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C28 H50 O9","C28 H50 O9",28,50,9,0,0,0,-0.0213,-1.1429,92.87265,1.79,0.32,"CHO","Protein","aliphatic","aliphatic"
"C32 H51 O4 P1","C32 H51 O4 P1",32,51,4,0,1,0,0.1724,-1.5,103.05,1.59,0.12,"CHOP","Lipid","aliphatic","aliphatic"
"C29 H54 O8","C29 H54 O8",29,54,8,0,0,0,-0.04,-1.3103,97.64355,1.86,0.28,"CHO","Lipid","aliphatic","aliphatic"
"C35 H62 O3","C35 H62 O3",35,62,3,0,0,0,0.1045,-1.6,105.9,1.77,0.09,"CHO","Lipid","aliphatic","aliphatic"
"C19 H20 O16 13C1","C19 H20 O16 13C1",19,20,16,0,0,0,0.1818,0.6316,42.2994,1.05,0.84,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C23 H17 O14 N1","C23 H17 O14 N1",23,17,14,1,0,0,0.5333,0.6087,42.95205,0.74,0.61,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C23 H18 O14 13C1","C23 H18 O14 13C1",23,18,14,0,0,0,0.5,0.4348,47.9082,0.78,0.61,"CHO","Cond Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C22 H17 O13 N3","C22 H17 O13 N3",22,17,13,3,0,0,0.52,0.8182,36.9813,0.77,0.59,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C20 H22 O16 13C1","C20 H22 O16 13C1",20,22,16,0,0,0,0.1667,0.5,46.05,1.1,0.8,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C24 H21 O13 N1","C24 H21 O13 N1",24,21,13,1,0,0,0.4545,0.3333,50.80095,0.88,0.54,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H22 O13 13C1","C24 H22 O13 13C1",24,22,13,0,0,0,0.4286,0.1667,55.54905,0.92,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H25 O15 N1","C21 H25 O15 N1",21,25,15,1,0,0,0.12,0.381,49.4415,1.19,0.71,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C21 H26 O15 13C1","C21 H26 O15 13C1",21,26,15,0,0,0,0.1111,0.1905,54.87075,1.24,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C25 H25 O12 N1","C25 H25 O12 N1",25,25,12,1,0,0,0.3889,0.08,58.02,1,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H29 O14 N1","C22 H29 O14 N1",22,29,14,1,0,0,0.0714,0.0909,57.70935,1.32,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H30 O14 13C1","C22 H30 O14 13C1",22,30,14,0,0,0,0.0667,-0.0909,62.89065,1.36,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H29 O11 N1","C26 H29 O11 N1",26,29,11,1,0,0,0.3333,-0.1538,64.6833,1.12,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H30 O11 13C1","C26 H30 O11 13C1",26,30,11,0,0,0,0.3171,-0.3077,69.06945,1.15,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H33 O13 N1","C23 H33 O13 N1",23,33,13,1,0,0,0.0323,-0.1739,65.25615,1.43,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H34 O13 13C1","C23 H34 O13 13C1",23,34,13,0,0,0,0.0303,-0.3478,70.2123,1.48,0.57,"CHO","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C27 H33 O10 N1","C27 H33 O10 N1",27,33,10,1,0,0,0.2857,-0.3704,70.8564,1.22,0.37,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H35 O9 N1","C27 H35 O9 N1",27,35,9,1,0,0,0.2558,-0.5185,75.07725,1.3,0.33,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H37 O12 N1","C24 H37 O12 N1",24,37,12,1,0,0,0,-0.4167,72.17595,1.54,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C24 H38 O12 13C1","C24 H38 O12 13C1",24,38,12,0,0,0,0,-0.5833,76.92405,1.58,0.5,"CHO","Protein","aliphatic","aliphatic"
"C25 H41 O11 N1","C25 H41 O11 N1",25,41,11,1,0,0,-0.027,-0.64,78.54,1.64,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C21 H46 O8 N3 P1 S1","C21 H46 O8 N3 P1 S1",21,46,8,3,1,1,-0.6667,-1.1429,92.87265,2.19,0.38,"CHONPS","Other","aliphatic","lipid"
"C26 H45 O10 N1","C26 H45 O10 N1",26,45,10,1,0,0,-0.05,-0.8462,84.4167,1.73,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H46 O10 13C1","C26 H46 O10 13C1",26,46,10,0,0,0,-0.0476,-1,88.8,1.77,0.38,"CHO","Protein","aliphatic","aliphatic"
"C27 H49 O9 N1","C27 H49 O9 N1",27,49,9,1,0,0,-0.0698,-1.037,89.8545,1.81,0.33,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H50 O9 13C1","C27 H50 O9 13C1",27,50,9,0,0,0,-0.0667,-1.1852,94.0782,1.85,0.33,"CHO","Protein","aliphatic","aliphatic"
"C34 H62 O3 13C1","C34 H62 O3 13C1",34,62,3,0,0,0,0.0769,-1.6471,107.24235,1.82,0.09,"CHO","Lipid","aliphatic","aliphatic"
"C25 H49 O10 N1","C25 H49 O10 N1",25,49,10,1,0,0,-0.2105,-1.04,89.94,1.96,0.4,"CHON","Protein","aliphatic","aliphatic+N"
"C23 H16 O15","C23 H16 O15",23,16,15,0,0,0,0.5484,0.6087,42.95205,0.7,0.65,"CHO","Tannin","aromatic","aromatic"
"C22 H16 O14 N2","C22 H16 O14 N2",22,16,14,2,0,0,0.5385,0.8182,36.9813,0.73,0.64,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C22 H14 O15","C22 H14 O15",22,14,15,0,0,0,0.5862,0.7273,39.57195,0.64,0.68,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C20 H20 O17","C20 H20 O17",20,20,17,0,0,0,0.2174,0.7,40.35,1,0.85,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C17 H25 O17 P1","C17 H25 O17 P1",17,25,17,0,1,0,-0.4667,0.2353,53.59395,1.47,1,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C24 H20 O14","C24 H20 O14",24,20,14,0,0,0,0.4706,0.3333,50.80095,0.83,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H20 O13 N2","C23 H20 O13 N2",23,20,13,2,0,0,0.4483,0.5217,45.43155,0.87,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C19 H18 O17","C19 H18 O17",19,18,17,0,0,0,0.2381,0.8421,36.30015,0.95,0.89,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C16 H23 O17 P1","C16 H23 O17 P1",16,23,17,0,1,0,-0.5385,0.375,49.6125,1.44,1.06,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C21 H24 O16","C21 H24 O16",21,24,16,0,0,0,0.1538,0.381,49.4415,1.14,0.76,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C14 H33 O13 N2 P1 S2","C14 H33 O13 N2 P1 S2",14,33,13,2,1,2,-4.6,-0.1429,64.37265,2.36,0.93,"CHONPS","Other","aliphatic","carbohydrate"
"C22 H19 O13 N1 13C1","C22 H19 O13 N1 13C1",22,19,13,1,0,0,0.4483,0.4545,47.34675,0.86,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H24 O13","C25 H24 O13",25,24,13,0,0,0,0.4054,0.08,58.02,0.96,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H28 O15","C22 H28 O15",22,28,15,0,0,0,0.1034,0.0909,57.70935,1.27,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C19 H25 O15 P1","C19 H25 O15 P1",19,25,15,0,1,0,-0.0476,0,60.3,1.32,0.79,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C19 H33 O15 P1","C19 H33 O15 P1",19,33,15,0,1,0,-0.4286,-0.4211,72.30135,1.74,0.79,"CHOP","Carbohydrate","aliphatic","aliphatic"
"C26 H28 O12","C26 H28 O12",26,28,12,0,0,0,0.35,-0.1538,64.6833,1.08,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C18 H33 O14 N2 P1","C18 H33 O14 N2 P1",18,33,14,2,1,0,-0.75,-0.2222,66.6327,1.83,0.78,"CHONP","Carbohydrate","aliphatic","aliphatic+N"
"C23 H32 O14","C23 H32 O14",23,32,14,0,0,0,0.0625,-0.1739,65.25615,1.39,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H32 O11","C27 H32 O11",27,32,11,0,0,0,0.3023,-0.3704,70.8564,1.19,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H30 O12 S1","C22 H30 O12 S1",22,30,12,0,0,1,0.0667,-0.1818,65.4813,1.36,0.55,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H36 O13","C24 H36 O13",24,36,13,0,0,0,0.0286,-0.4167,72.17595,1.5,0.54,"CHO","Protein","aliphatic","aliphatic"
"C28 H36 O10","C28 H36 O10",28,36,10,0,0,0,0.2609,-0.5714,76.5849,1.29,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H37 O12 N1 13C1","C23 H37 O12 N1 13C1",23,37,12,1,0,0,-0.0625,-0.4348,72.6918,1.61,0.52,"CHON","Protein","aliphatic","aliphatic+N"
"C25 H40 O12","C25 H40 O12",25,40,12,0,0,0,0,-0.64,78.54,1.6,0.48,"CHO","Protein","aliphatic","aliphatic"
"C29 H40 O9","C29 H40 O9",29,40,9,0,0,0,0.2245,-0.7586,81.9201,1.38,0.31,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H44 O11","C26 H44 O11",26,44,11,0,0,0,-0.0244,-0.8462,84.4167,1.69,0.42,"CHO","Protein","aliphatic","aliphatic"
"C25 H44 O10 N2","C25 H44 O10 N2",25,44,10,2,0,0,-0.1111,-0.72,80.82,1.76,0.4,"CHON","Protein","aliphatic","aliphatic+N"
"C30 H44 O8","C30 H44 O8",30,44,8,0,0,0,0.1923,-0.9333,86.89905,1.47,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C27 H48 O10","C27 H48 O10",27,48,10,0,0,0,-0.0455,-1.037,89.8545,1.78,0.37,"CHO","Protein","aliphatic","aliphatic"
"C28 H52 O9","C28 H52 O9",28,52,9,0,0,0,-0.0638,-1.2143,94.90755,1.86,0.32,"CHO","Protein","aliphatic","aliphatic"
"C28 H12 O5 N3 P1 S1","C28 H12 O5 N3 P1 S1",28,12,5,3,1,1,0.8537,0.1429,56.22735,0.43,0.18,"CHONPS","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C23 H19 O14 N1","C23 H19 O14 N1",23,19,14,1,0,0,0.4667,0.5217,45.43155,0.83,0.61,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H20 O14 13C1","C23 H20 O14 13C1",23,20,14,0,0,0,0.4375,0.3478,50.3877,0.87,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H19 O13 N3","C22 H19 O13 N3",22,19,13,3,0,0,0.44,0.7273,39.57195,0.86,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H23 O16 N1","C20 H23 O16 N1",20,23,16,1,0,0,0.0909,0.6,43.2,1.15,0.8,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C24 H23 O13 N1","C24 H23 O13 N1",24,23,13,1,0,0,0.3939,0.25,53.175,0.96,0.54,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H24 O13 13C1","C24 H24 O13 13C1",24,24,13,0,0,0,0.3714,0.0833,57.92595,1,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H23 O12 N3","C23 H23 O12 N3",23,23,12,3,0,0,0.3571,0.4348,47.9082,1,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H27 O15 N1","C21 H27 O15 N1",21,27,15,1,0,0,0.04,0.2857,52.15755,1.29,0.71,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C21 H28 O15 13C1","C21 H28 O15 13C1",21,28,15,0,0,0,0.037,0.0952,57.5868,1.33,0.71,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C25 H27 O12 N1","C25 H27 O12 N1",25,27,12,1,0,0,0.3333,0,60.3,1.08,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H28 O12 13C1","C25 H28 O12 13C1",25,28,12,0,0,0,0.3158,-0.16,64.86,1.12,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H27 O11 N3","C24 H27 O11 N3",24,27,11,3,0,0,0.2903,0.1667,55.54905,1.12,0.46,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H31 O14 N1","C22 H31 O14 N1",22,31,14,1,0,0,0,0,60.3,1.41,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H31 O11 N1","C26 H31 O11 N1",26,31,11,1,0,0,0.2821,-0.2308,66.8778,1.19,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H32 O11 13C1","C26 H32 O11 13C1",26,32,11,0,0,0,0.2683,-0.3846,71.2611,1.23,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H46 O7","C30 H46 O7",30,46,7,0,0,0,0.1698,-1.0667,90.70095,1.53,0.23,"CHO","Other","aliphatic","aliphatic"
"C23 H35 O13 N1","C23 H35 O13 N1",23,35,13,1,0,0,-0.0323,-0.2609,67.73565,1.52,0.57,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C23 H36 O13 13C1","C23 H36 O13 13C1",23,36,13,0,0,0,-0.0303,-0.4348,72.6918,1.57,0.57,"CHO","Amino Sugar","aliphatic","aliphatic"
"C20 H40 O13 N1 P1","C20 H40 O13 N1 P1",20,40,13,1,1,0,-0.5652,-0.8,83.1,2,0.65,"CHONP","Other","aliphatic","lipid"
"C27 H35 O10 N1","C27 H35 O10 N1",27,35,10,1,0,0,0.2381,-0.4444,72.9654,1.3,0.37,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H39 O12 N1","C24 H39 O12 N1",24,39,12,1,0,0,-0.0588,-0.5,74.55,1.62,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C24 H40 O12 13C1","C24 H40 O12 13C1",24,40,12,0,0,0,-0.0556,-0.6667,79.30095,1.67,0.5,"CHO","Protein","aliphatic","aliphatic"
"C31 H40 O3 N3 P1","C31 H40 O3 N3 P1",31,40,3,3,1,0,0.3333,-0.9677,87.87945,1.29,0.1,"CHONP","Unsat Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C19 H22 O16 13C1","C19 H22 O16 13C1",19,22,16,0,0,0,0.0909,0.5263,45.30045,1.16,0.84,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C25 H43 O11 N1","C25 H43 O11 N1",25,43,11,1,0,0,-0.0811,-0.72,80.82,1.72,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C25 H44 O11 13C1","C25 H44 O11 13C1",25,44,11,0,0,0,-0.0769,-0.88,85.38,1.76,0.44,"CHO","Protein","aliphatic","aliphatic"
"C26 H47 O10 N1","C26 H47 O10 N1",26,47,10,1,0,0,-0.1,-0.9231,86.60835,1.81,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H48 O10 13C1","C26 H48 O10 13C1",26,48,10,0,0,0,-0.0952,-1.0769,90.99165,1.85,0.38,"CHO","Protein","aliphatic","aliphatic"
"C23 H25 O11 N3","C23 H25 O11 N3",23,25,11,3,0,0,0.3103,0.2609,52.86435,1.09,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H7 O16 P1","C20 H7 O16 P1",20,7,16,0,1,0,0.8182,1,31.8,0.35,0.8,"CHOP","Other","condensed aromatic","condensed aromatic"
"C23 H18 O15","C23 H18 O15",23,18,15,0,0,0,0.4839,0.5217,45.43155,0.78,0.65,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C22 H18 O14 N2","C22 H18 O14 N2",22,18,14,2,0,0,0.4615,0.7273,39.57195,0.82,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H22 O17","C20 H22 O17",20,22,17,0,0,0,0.1304,0.6,43.2,1.1,0.85,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C17 H27 O17 P1","C17 H27 O17 P1",17,27,17,0,1,0,-0.6,0.1176,56.9484,1.59,1,"CHOP","Carbohydrate","aliphatic","aliphatic"
"C24 H22 O14","C24 H22 O14",24,22,14,0,0,0,0.4118,0.25,53.175,0.92,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H22 O13 N2","C23 H22 O13 N2",23,22,13,2,0,0,0.3793,0.4348,47.9082,0.96,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H26 O13","C25 H26 O13",25,26,13,0,0,0,0.3514,0,60.3,1.04,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H30 O13 S1","C22 H30 O13 S1",22,30,13,0,0,1,0.0345,-0.0909,62.89065,1.36,0.59,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H26 O12 N2","C24 H26 O12 N2",24,26,12,2,0,0,0.3125,0.1667,55.54905,1.08,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H30 O15","C22 H30 O15",22,30,15,0,0,0,0.0345,0,60.3,1.36,0.68,"CHO","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C26 H30 O12","C26 H30 O12",26,30,12,0,0,0,0.3,-0.2308,66.8778,1.15,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H34 O14","C23 H34 O14",23,34,14,0,0,0,0,-0.2609,67.73565,1.48,0.61,"CHO","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C27 H34 O11","C27 H34 O11",27,34,11,0,0,0,0.2558,-0.4444,72.9654,1.26,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C18 H17 O16 P1","C18 H17 O16 P1",18,17,16,0,1,0,0.2222,0.5556,44.4654,0.94,0.89,"CHOP","Tannin","unsaturated/lignin","unsaturated/lignin"
"C24 H38 O13","C24 H38 O13",24,38,13,0,0,0,-0.0286,-0.5,74.55,1.58,0.54,"CHO","Protein","aliphatic","aliphatic"
"C12 H29 O14 N2 P1 S2","C12 H29 O14 N2 P1 S2",12,29,14,2,1,2,0,0.3333,50.80095,2.42,1.17,"CHONPS","Other","aliphatic","carbohydrate"
"C28 H38 O10","C28 H38 O10",28,38,10,0,0,0,0.2174,-0.6429,78.62265,1.36,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H39 O12 N1 13C1","C23 H39 O12 N1 13C1",23,39,12,1,0,0,-0.125,-0.5217,75.16845,1.7,0.52,"CHON","Protein","aliphatic","aliphatic+N"
"C25 H42 O12","C25 H42 O12",25,42,12,0,0,0,-0.0526,-0.72,80.82,1.68,0.48,"CHO","Protein","aliphatic","aliphatic"
"C27 H20 O11","C27 H20 O11",27,20,11,0,0,0,0.5814,0.0741,58.18815,0.74,0.41,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C29 H42 O9","C29 H42 O9",29,42,9,0,0,0,0.1837,-0.8276,83.8866,1.45,0.31,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C24 H43 O11 N1 13C1","C24 H43 O11 N1 13C1",24,43,11,1,0,0,-0.1429,-0.75,81.675,1.79,0.46,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H46 O11","C26 H46 O11",26,46,11,0,0,0,-0.0732,-0.9231,86.60835,1.77,0.42,"CHO","Protein","aliphatic","aliphatic"
"C23 H25 O12 N1 13C1","C23 H25 O12 N1 13C1",23,25,12,1,0,0,0.3125,0.087,57.8205,1.09,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H50 O10","C27 H50 O10",27,50,10,0,0,0,-0.0909,-1.1111,91.96635,1.85,0.37,"CHO","Protein","aliphatic","aliphatic"
"C24 H9 O10 N1 S2","C24 H9 O10 N1 S2",24,9,10,1,0,2,0.8125,0.75,38.925,0.38,0.42,"CHONS","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C24 H29 O11 N1 13C1","C24 H29 O11 N1 13C1",24,29,11,1,0,0,0.2571,-0.1667,65.05095,1.21,0.46,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H10 O8 N3 P1","C27 H10 O8 N3 P1",27,10,8,3,1,0,0.8947,0.3704,49.7436,0.37,0.3,"CHONP","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C23 H21 O14 N1","C23 H21 O14 N1",23,21,14,1,0,0,0.4,0.4348,47.9082,0.91,0.61,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H34 O9","C29 H34 O9",29,34,9,0,0,0,0.3469,-0.5517,76.02345,1.17,0.31,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H22 O14 13C1","C23 H22 O14 13C1",23,22,14,0,0,0,0.375,0.2609,52.86435,0.96,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H21 O13 N3","C22 H21 O13 N3",22,21,13,3,0,0,0.36,0.6364,42.1626,0.95,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C17 H30 O16 N1 P1","C17 H30 O16 N1 P1",17,30,16,1,1,0,-0.8571,0,60.3,1.76,0.94,"CHONP","Carbohydrate","aliphatic","aliphatic+N"
"C24 H25 O13 N1","C24 H25 O13 N1",24,25,13,1,0,0,0.3333,0.1667,55.54905,1.04,0.54,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H26 O13 13C1","C24 H26 O13 13C1",24,26,13,0,0,0,0.3143,0,60.3,1.08,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H25 O12 N3","C23 H25 O12 N3",23,25,12,3,0,0,0.2857,0.3478,50.3877,1.09,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H29 O15 N1","C21 H29 O15 N1",21,29,15,1,0,0,-0.04,0.1905,54.87075,1.38,0.71,"CHON","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C25 H29 O12 N1","C25 H29 O12 N1",25,29,12,1,0,0,0.2778,-0.08,62.58,1.16,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H30 O12 13C1","C25 H30 O12 13C1",25,30,12,0,0,0,0.2632,-0.24,67.14,1.2,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H33 O14 N1","C22 H33 O14 N1",22,33,14,1,0,0,-0.0714,-0.0909,62.89065,1.5,0.64,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C26 H33 O11 N1","C26 H33 O11 N1",26,33,11,1,0,0,0.2308,-0.3077,69.06945,1.27,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H34 O11 13C1","C26 H34 O11 13C1",26,34,11,0,0,0,0.2195,-0.4615,73.45275,1.31,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H37 O13 N1","C23 H37 O13 N1",23,37,13,1,0,0,-0.0968,-0.3478,70.2123,1.61,0.57,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C27 H37 O10 N1","C27 H37 O10 N1",27,37,10,1,0,0,0.1905,-0.5185,75.07725,1.37,0.37,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H38 O10 13C1","C27 H38 O10 13C1",27,38,10,0,0,0,0.1818,-0.6667,79.30095,1.41,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H41 O12 N1","C24 H41 O12 N1",24,41,12,1,0,0,-0.1176,-0.5833,76.92405,1.71,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C24 H42 O12 13C1","C24 H42 O12 13C1",24,42,12,0,0,0,-0.1111,-0.75,81.675,1.75,0.5,"CHO","Protein","aliphatic","aliphatic"
"C25 H45 O11 N1","C25 H45 O11 N1",25,45,11,1,0,0,-0.1351,-0.8,83.1,1.8,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C25 H46 O11 13C1","C25 H46 O11 13C1",25,46,11,0,0,0,-0.1282,-0.96,87.66,1.84,0.44,"CHO","Protein","aliphatic","aliphatic"
"C26 H49 O10 N1","C26 H49 O10 N1",26,49,10,1,0,0,-0.15,-1,88.8,1.88,0.38,"CHON","Protein","aliphatic","aliphatic+N"
